source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
0003,001650,01904,0,0225,0551,001,   -9,0
0003,001683,01904,0,  -9,  -9,001,   -9,0
0003,001686,01917,0,  -9,  -9,001,   -9,0
0003,001694,01917,0,0203,0485,001,   -9,0
0003,001731,01917,0,  -9,  -9,021,01917,0
0003,001731,01917,0,0182,  -9,001,   -9,0
0003,001731,01917,0,0182,0414,001,   -9,0
0003,001747,01908,0,  -9,  -9,007,01909,0
0003,001747,01909,0,  -9,  -9,001,   -9,0
0003,001753,01902,0,  -9,  -9,001,   -9,0
0003,001764,01893,0,0182,0414,001,   -9,0
0003,001769,01914,0,  -9,  -9,001,   -9,0
0003,001779,01917,0,  -9,  -9,001,   -9,0
0003,001797,01915,0,  -9,  -9,001,   -9,0
0003,001804,01904,0,  -9,  -9,001,   -9,0
0003,001804,01904,0,  -9,  -9,003,   -9,0
0003,001808,01891,0,  -9,  -9,003,01893,0
0003,001808,01893,0,0203,0485,001,   -9,0
0003,001821,01910,0,  -9,  -9,001,   -9,0
0003,001825,01898,0,  -9,  -9,001,   -9,0
0003,001830,01907,0,  -9,  -9,001,   -9,0
0003,001842,01913,0,0324,  -9,001,   -9,0
0003,001879,01892,0,  -9,  -9,011,   -9,0
0003,001879,01917,0,0182,0414,001,   -9,0
0003,001884,01920,0,  -9,  -9,001,   -9,0
0003,001933,01906,0,  -9,  -9,001,   -9,0
0003,001936,01903,0,  -9,  -9,001,   -9,0
0003,001947,01930,0,  -9,  -9,001,   -9,0
0003,001951,01893,0,  -9,  -9,001,   -9,0
0003,001984,01900,0,  -9,  -9,005,01904,0
0003,001984,01904,0,  -9,  -9,001,   -9,0
0003,002011,01901,0,0027,  -9,001,   -9,0
0003,002015,01917,0,  -9,  -9,001,   -9,0
0003,002017,01917,0,  -9,  -9,001,   -9,0
0003,002018,01912,0,  -9,  -9,001,   -9,0
0003,002039,01908,0,  -9,  -9,001,   -9,0
0003,002058,01917,0,  -9,  -9,001,   -9,0
0003,002071,01893,0,  -9,  -9,001,   -9,0
0003,002130,01903,0,  -9,  -9,001,   -9,0
0003,002158,01940,0,0203,0485,001,   -9,0
0003,002189,01904,0,0264,0655,001,   -9,0
0003,002256,01903,0,0090,0761,001,   -9,0
0003,002315,01912,0,  -9,  -9,001,   -9,0
0003,002344,01908,0,  -9,  -9,001,   -9,0
0003,002360,01905,0,0174,0395,001,   -9,0
0003,002367,01898,0,  -9,  -9,001,   -9,0
0003,002387,01919,0,  -9,  -9,001,   -9,0
0003,002410,01895,2,  -9,  -9,011,01895,1
0003,002410,01897,0,0077,0189,001,   -9,0
0003,002416,   -9,0,  -9,  -9,008,01910,0
0003,002416,01910,0,0182,0414,001,   -9,0
0003,002418,01917,0,  -9,  -9, -9,01917,0
0003,002423,01923,0,0203,0485,001,   -9,0
0003,002429,01924,0,0203,0485,001,   -9,0
0003,002453,01903,0,  -9,  -9,039,01904,0
0003,002453,01905,0,0203,0485,001,   -9,0
0003,002468,01912,0,0182,0414,001,   -9,0
0003,002470,01920,0,0203,0485,001,   -9,0
0003,002471,01904,0,  -9,  -9,012,01914,0
0003,002471,01914,0,  -9,  -9,036,01918,0
0003,002471,01918,0,  -9,  -9,001,   -9,0
0003,002489,01906,0,0225,0551,001,   -9,0
0003,002489,01917,0,  -9,  -9,021,01920,2
0003,002489,01920,0,0108,0266,001,   -9,0
0003,002499,01924,0,0001,  -9,001,   -9,0
0003,002519,01904,0,  -9,  -9,001,   -9,0
0003,002571,01898,0,0182,0414,001,   -9,0
0003,002575,01898,0,0203,0485,001,   -9,0
0003,002586,01919,0,  -9,  -9,001,   -9,0
0003,002597,01910,0,0182,0414,001,   -9,0
0003,002663,01895,0,  -9,  -9,041,01918,0
0003,002663,01920,0,0079,0434,001,   -9,0
0003,002692,01913,0,0162,0536,001,   -9,0
0003,002695,01915,0,  -9,  -9,001,   -9,0
0003,002701,01917,0,0133,0461,001,   -9,0
0003,002710,01899,0,  -9,  -9,001,   -9,0
0003,002808,01903,0,  -9,  -9,001,   -9,0
0003,002809,01903,0,  -9,  -9,001,   -9,0
0003,002901,01906,0,0203,0485,001,   -9,0
0003,002913,01918,0,  -9,  -9,001,   -9,0
0003,002915,01905,0,  -9,  -9,001,   -9,0
0003,002957,01899,0,  -9,  -9,001,   -9,0
0003,003007,01895,0,  -9,  -9,011,   -9,0
